,Year,State,Coal,Geothermal,Hydroelectric,Natural Gas,Nuclear,Other,Other Gases,Petroleum,Solar Thermal/PV,Total,Wind,Biomass
0,1990,AK,510573,0,974521,3466261,0,0,0,497116,0,5599506,0,151035
1,1990,AL,53658115,0,10366507,1020714,12051882,0,269476,138089,0,79652133,0,2147350
2,1990,AR,19207935,0,3654653,3578573,11282053,0,0,79979,0,39099598,0,1253433
3,1990,AZ,31915610,0,7417576,2333900,20597689,0,0,151867,0,62774297,0,107888
4,1990,CA,2637677,14521254,23792567,74168308,32692807,0,2146742,5473852,366668,165784909,2758881,6239901
5,1990,CO,29814983,0,1419870,1290092,0,0,0,27390,0,32548127,0,28990
6,1990,CT,3594645,0,570619,1251479,19776250,0,4,8874466,0,35147247,0,1073310
7,1990,DC,0,0,0,0,0,0,0,361043,0,361043,0,0
8,1990,DE,5113479,0,0,763019,0,6315,164881,1793806,0,7841500,0,0
9,1990,FL,60100257,0,174604,18642683,21779560,1453102,0,25535138,0,131502553,0,3817209
10,1990,GA,68545692,0,4589117,830180,24796884,1,0,499480,0,102686240,0,3082776
11,1990,HI,2381,0,79516,0,0,0,16163,8735862,0,9702752,28825,840005
12,1990,IA,25751941,0,875114,333390,3011572,0,0,54471,0,30044506,0,18018
13,1990,ID,44371,0,9114990,55714,0,65203,0,994,0,9691475,0,410203
14,1990,IL,54966018,0,143926,1419891,71887302,0,381562,438584,0,129392471,0,155188
15,1990,IN,96925554,0,441021,1470837,0,0,1674549,868038,0,101417116,0,37117
16,1990,KS,23720258,0,13234,2502807,7874487,0,0,74026,0,34184857,45,0
17,1990,KY,70500461,0,3160383,27796,0,0,0,118646,0,73807286,0,0
18,1990,LA,17856687,0,656492,39474866,14196784,1292819,440700,232098,0,76465630,0,2315184
19,1990,MA,11365893,0,1249242,6132702,5069620,0,830,15101792,0,39811011,0,1560515
20,1990,MD,23509862,0,2298910,1522443,1251416,0,488197,3571272,0,33162292,0,520192
21,1990,ME,453218,0,4090536,50786,4860727,0,0,3081100,0,15946014,0,3409647
22,1990,MI,67066870,0,1627918,7837956,21610500,0,340949,861725,0,100059737,0,1408805
23,1990,MN,28176280,0,857046,539839,12139302,0,0,447814,0,43070376,266,909829
24,1990,MO,48796793,0,2192115,312109,7998039,0,0,90033,0,59352830,0,0
25,1990,MS,9526527,0,0,5919664,7422131,0,0,738971,0,25201417,0,1594124
26,1990,MT,15119619,0,10716817,55255,0,0,0,28982,0,26029772,0,109099
27,1990,NC,49821595,0,6819427,203465,25905319,203406,0,328025,0,84925767,0,1464484
28,1990,ND,25189003,0,1711148,51563,0,0,0,41547,0,26993261,0,0
29,1990,NE,12661150,0,1140093,308065,7511298,0,0,12981,0,21633587,0,0
30,1990,NH,2959203,0,1881087,0,4080691,0,0,2346493,0,12405196,0,1137722
31,1990,NJ,7057820,0,31351,6914325,23770387,0,0,2094969,0,39968834,0,249529
32,1990,NM,25826928,0,205435,2738087,0,0,0,35626,0,28820204,0,14128
33,1990,NV,15053277,761192,1735081,2217027,0,0,0,284108,0,20050685,0,0
34,1990,NY,25913047,0,28188222,22724335,23623356,0,89034,33884855,0,135345692,0,1976938
35,1990,OH,115832650,0,181395,241585,10663897,0,64159,374481,0,127980527,0,622360
36,1990,OK,25655347,0,2730594,18236766,0,0,88970,76947,0,47079131,0,270743
37,1990,OR,1317344,0,41240367,819328,6073796,0,0,27777,0,50372236,539,893085
38,1990,PA,106677155,0,2869192,2833882,57787051,732,841604,4654522,0,175623311,0,838422
39,1990,RI,0,0,9946,876943,0,0,0,185671,0,1107316,0,34756
40,1990,SC,23411867,0,3298066,787535,42880669,0,0,172575,0,71363174,0,1318851
41,1990,SD,2472514,0,3934402,12408,0,0,0,8149,0,6427473,0,0
42,1990,TN,51825606,0,10015363,224146,14002591,45000,4210,137067,0,76187609,0,411777
43,1990,TX,120921396,0,1793625,136234325,15859258,488731,2997509,1827803,385,281559635,0,1436603
44,1990,UT,31522926,151825,508443,146488,0,0,182005,51852,0,32563539,0,0
45,1990,VA,23899902,0,1309499,1134809,23820152,0,0,1438264,34,52564458,0,1795467
46,1990,VT,0,0,1365031,65281,3616268,0,0,2543,0,5164108,0,114985
47,1990,WA,7390279,0,87466708,288058,5742027,3750,8460,42981,0,102071533,0,1129270
48,1990,WI,33168941,0,2014412,347204,11225913,0,0,179457,0,47768857,44,832886
49,1990,WV,77643366,0,1295051,90063,0,11207,174182,325675,0,79539544,0,0
50,1990,WY,38908467,0,644613,268202,0,45396,8642,49205,0,39974965,0,50440
51,1991,AK,520514,0,896113,3319395,0,0,0,513425,0,5389828,0,140381
52,1991,AL,58222842,0,10757723,1222500,15874637,0,293206,167824,0,88786612,0,2247880
53,1991,AR,19644712,0,3546966,3324886,12661793,0,0,68257,0,40651244,0,1390527
