,Year,State,Cents_kWh_Inf_Adj
4167,1990,AK,14.17
4168,1990,AL,8.32
4169,1990,AR,10.01
4170,1990,AZ,11.58
4171,1990,CA,13.21
4172,1990,CO,8.8
4173,1990,CT,13.69
4174,1990,DC,8.88
4175,1990,DE,9.65
4176,1990,FL,10.52
4177,1990,GA,9.8
4178,1990,HI,13.48
4179,1990,IA,8.86
4180,1990,ID,5.68
4181,1990,IL,11.19
4182,1990,IN,8.01
4183,1990,KS,9.82
4184,1990,KY,6.69
4185,1990,LA,8.97
4186,1990,MA,13.22
4187,1990,MD,9.41
4188,1990,ME,11.43
4189,1990,MI,10.61
4190,1990,MN,7.96
4191,1990,MO,9.65
4192,1990,MS,9.13
4193,1990,MT,5.92
4194,1990,NC,9.53
4195,1990,ND,8.59
4196,1990,NE,8.32
4197,1990,NH,13.58
4198,1990,NJ,13.57
4199,1990,NM,10.61
4200,1990,NV,8.04
4201,1990,NY,14.0
4202,1990,OH,8.8
4203,1990,OK,8.19
4204,1990,OR,6.25
4205,1990,PA,11.43
4206,1990,RI,13.67
4207,1990,SC,8.35
4208,1990,SD,9.16
4209,1990,TN,7.93
4210,1990,TX,8.64
4211,1990,UT,8.16
4212,1990,VA,9.01
4213,1990,VT,12.37
4214,1990,WA,5.08
4215,1990,WI,8.02
4216,1990,WV,7.07
4217,1990,WY,6.29
4063,1991,AK,14.05
4064,1991,AL,8.09
4065,1991,AR,9.59
4066,1991,AZ,11.26
4067,1991,CA,13.51
4068,1991,CO,8.53
4069,1991,CT,13.77
4070,1991,DC,8.96
4071,1991,DE,9.61
4072,1991,FL,10.27
4073,1991,GA,9.41
4074,1991,HI,13.22
4075,1991,IA,8.52
4076,1991,ID,5.51
4077,1991,IL,10.94
4078,1991,IN,7.63
4079,1991,KS,9.42
4080,1991,KY,6.32
4081,1991,LA,8.52
4082,1991,MA,13.67
4083,1991,MD,9.76
4084,1991,ME,12.33
4085,1991,MI,10.34
4086,1991,MN,7.83
4087,1991,MO,9.26
4088,1991,MS,8.63
4089,1991,MT,5.94
4090,1991,NC,9.28
4091,1991,ND,8.26
4092,1991,NE,7.86
4093,1991,NH,13.09
4094,1991,NJ,13.56
4095,1991,NM,10.24
4096,1991,NV,8.03
4097,1991,NY,14.04
4098,1991,OH,8.76
4099,1991,OK,8.29
4100,1991,OR,6.09
4101,1991,PA,11.47
4102,1991,RI,14.58
4103,1991,SC,8.07
4104,1991,SD,8.79
4105,1991,TN,7.47
4106,1991,TX,8.69
4107,1991,UT,7.83
4108,1991,VA,8.73
4109,1991,VT,12.37
4110,1991,WA,4.83
4111,1991,WI,7.81
4112,1991,WV,6.94
4113,1991,WY,6.09
3959,1992,AK,13.85
3960,1992,AL,7.75
3961,1992,AR,9.34
3962,1992,AZ,11.32
3963,1992,CA,13.45
3964,1992,CO,8.38
3965,1992,CT,13.98
3966,1992,DC,9.01
3967,1992,DE,9.33
3968,1992,FL,9.73
3969,1992,GA,9.28
3970,1992,HI,13.14
3971,1992,IA,8.32
3972,1992,ID,5.39
3973,1992,IL,10.7
3974,1992,IN,7.38
3975,1992,KS,9.13
3976,1992,KY,5.83
3977,1992,LA,8.37
3978,1992,MA,13.45
3979,1992,MD,9.47
3980,1992,ME,12.6
3981,1992,MI,10.06
3982,1992,MN,7.68
3983,1992,MO,8.92
3984,1992,MS,8.39
3985,1992,MT,5.83
3986,1992,NC,9.19
3987,1992,ND,8.09
3988,1992,NE,7.7
3989,1992,NH,13.88
3990,1992,NJ,13.24
3991,1992,NM,9.91
3992,1992,NV,7.92
3993,1992,NY,14.18
3994,1992,OH,8.44
3995,1992,OK,8.07
3996,1992,OR,6.0
3997,1992,PA,11.19
3998,1992,RI,14.34
3999,1992,SC,7.7
4000,1992,SD,8.66
4001,1992,TN,7.25
4002,1992,TX,8.57
4003,1992,UT,7.38
4004,1992,VA,8.74
4005,1992,VT,12.29
4006,1992,WA,4.77
4007,1992,WI,7.63
4008,1992,WV,7.03
4009,1992,WY,5.94
3855,1993,AK,13.68
3856,1993,AL,7.66
3857,1993,AR,8.95
3858,1993,AZ,11.1
3859,1993,CA,13.1
3860,1993,CO,8.18
3861,1993,CT,13.87
3862,1993,DC,9.16
3863,1993,DE,9.43
3864,1993,FL,9.73
3865,1993,GA,9.07
3866,1993,HI,14.41
3867,1993,IA,8.07
3868,1993,ID,5.41
3869,1993,IL,10.47
3870,1993,IN,6.99
3871,1993,KS,8.92
3872,1993,KY,5.84
3873,1993,LA,8.46
3874,1993,MA,13.49
3875,1993,MD,9.41
3876,1993,ME,12.3
3877,1993,MI,9.65
3878,1993,MN,7.57
3879,1993,MO,8.56
3880,1993,MS,8.35
3881,1993,MT,5.89
3882,1993,NC,8.96
3883,1993,ND,7.88
3884,1993,NE,7.49
3885,1993,NH,14.66
3886,1993,NJ,13.5
3887,1993,NM,9.77
3888,1993,NV,7.93
3889,1993,NY,14.49
3890,1993,OH,8.41
3891,1993,OK,8.06
3892,1993,OR,5.99
3893,1993,PA,10.7
3894,1993,RI,14.06
3895,1993,SC,7.62
3896,1993,SD,8.38
3897,1993,TN,7.06
3898,1993,TX,8.64
3899,1993,UT,7.2
3900,1993,VA,8.42
3901,1993,VT,12.22
3902,1993,WA,4.93
3903,1993,WI,7.46
3904,1993,WV,7.06
3905,1993,WY,5.74
3751,1994,AK,13.51
3752,1994,AL,7.22
3753,1994,AR,8.37
3754,1994,AZ,10.45
3755,1994,CA,12.89
3756,1994,CO,8.0
3757,1994,CT,13.42
3758,1994,DC,9.38
3759,1994,DE,8.93
3760,1994,FL,9.17
3761,1994,GA,8.66
3762,1994,HI,14.07
3763,1994,IA,7.8
3764,1994,ID,5.27
3765,1994,IL,9.76
3766,1994,IN,6.92
3767,1994,KS,8.71
3768,1994,KY,5.61
3769,1994,LA,7.97
3770,1994,MA,13.18
3771,1994,MD,9.26
3772,1994,ME,12.69
3773,1994,MI,9.34
3774,1994,MN,7.42
3775,1994,MO,8.28
3776,1994,MS,7.97
3777,1994,MT,5.94
3778,1994,NC,8.72
3779,1994,ND,7.6
3780,1994,NE,7.23
3781,1994,NH,14.92
3782,1994,NJ,13.26
3783,1994,NM,9.37
3784,1994,NV,8.39
3785,1994,NY,14.39
3786,1994,OH,8.16
3787,1994,OK,7.7
3788,1994,OR,6.06
3789,1994,PA,10.37
3790,1994,RI,13.49
3791,1994,SC,7.47
3792,1994,SD,8.16
3793,1994,TN,6.89
3794,1994,TX,8.46
3795,1994,UT,7.06
3796,1994,VA,8.17
3797,1994,VT,12.03
3798,1994,WA,5.3
3799,1994,WI,7.2
3800,1994,WV,6.92
3801,1994,WY,5.61
3647,1995,AK,13.03
3648,1995,AL,7.01
3649,1995,AR,8.03
3650,1995,AZ,9.76
3651,1995,CA,12.7
3652,1995,CO,7.84
3653,1995,CT,13.46
3654,1995,DC,9.12
3655,1995,DE,8.86
3656,1995,FL,8.98
3657,1995,GA,8.48
3658,1995,HI,14.47
3659,1995,IA,7.73
3660,1995,ID,5.24
3661,1995,IL,9.85
3662,1995,IN,6.72
